Symbol,Company,DPM,DPM Name,DPM EFID,DPM Firm ID,Extended-Hours Eligible,Settlement Style,Tick Type,Symbol Type,Post,Station
AMCX,AMC GLOBAL MEDIA INC CL A,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,1,1
AMCR,AMCOR PLC COM NEW,Yes,"IMC-Chicago, LLC dba IMC Financial Markets",IMCC,HLND,No,American,nickel,Equity,1,1
DOX,AMDOCS LTD SHS,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,1,1
AMTM,AMENTUM HOLDINGS INC COM,Yes,Citadel Securities LLC,CEDL,CDRG,No,American,nickel,Equity,2,1
AS,AMER SPORTS INC COM SHS,Yes,Citadel Securities LLC,CEDL,CDRG,No,American,nickel,Equity,2,1
AWR,AMER STATES WTR CO COM,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,2,1
AMTB,AMERANT BANCORP INC CL A,Yes,Citadel Securities LLC,CEDL,CDRG,No,American,nickel,Equity,2,1
AEE,AMEREN CORP COM,Yes,"Susquehanna Securities, LLC",SQME,SSUS,No,American,nickel,Equity,1,1
AMRC,AMERESCO INC CL A,Yes,"Wolverine Trading, LLC",WETW,WOLV,No,American,nickel,Equity,1,1
AMX,AMERICA MOVIL SAB DE CV SPON ADS RP CL B,Yes,Citadel Securities LLC,CEDL,CDRG,No,American,nickel,Equity,1,1
AAL,AMERICAN AIRLINES GROUP INC COM,Yes,"Susquehanna Securities, LLC",SQQJ,SSUS,No,American,penny,Equity,1,1
AAT,AMERICAN ASSETS TR INC COM,Yes,"Wolverine Trading, LLC",WETW,WOLV,No,American,nickel,Equity,2,1
ABAT,AMERICAN BATTERY TECHNOLOGY COM NEW,Yes,Group One Trading LLC,GMVE,PRGD,No,American,nickel,Equity,1,1
CPII,AMERICAN BEACON SELECT FUNDS IONIC INFLATION,Yes,Belvedere Trading LLC,JAEC,BLVT,No,American,nickel,ETF,1,1
